GATE_LEVEL Output Report:		  

Correct reading!	 TBArray value is=20034d40	 DOUT value is=20034d40	 of RADDR =  1	 time is                 1764
Correct reading!	 TBArray value is=46ff1d8d	 DOUT value is=46ff1d8d	 of RADDR = 14	 time is                 1774
Correct reading!	 TBArray value is=84daf809	 DOUT value is=84daf809	 of RADDR =  7	 time is                 1784
Correct reading!	 TBArray value is=93b3fa27	 DOUT value is=93b3fa27	 of RADDR =  6	 time is                 1794
Correct reading!	 TBArray value is=20034d40	 DOUT value is=20034d40	 of RADDR =  1	 time is                 1804
Correct reading!	 TBArray value is=7b3e37f6	 DOUT value is=7b3e37f6	 of RADDR =  0	 time is                 1814
Correct reading!	 TBArray value is=99e11433	 DOUT value is=99e11433	 of RADDR = 11	 time is                 1824
Correct reading!	 TBArray value is=dff7d4bf	 DOUT value is=dff7d4bf	 of RADDR = 12	 time is                 1834
Correct reading!	 TBArray value is=20034d40	 DOUT value is=20034d40	 of RADDR =  1	 time is                 1844
Correct reading!	 TBArray value is=48ebe191	 DOUT value is=48ebe191	 of RADDR =  3	 time is                 1854
Correct reading!	 TBArray value is=dff7d4bf	 DOUT value is=dff7d4bf	 of RADDR = 12	 time is                 1864
Correct reading!	 TBArray value is=84daf809	 DOUT value is=84daf809	 of RADDR =  7	 time is                 1874
Correct reading!	 TBArray value is=224b1944	 DOUT value is=224b1944	 of RADDR =  5	 time is                 1884
Correct reading!	 TBArray value is=dff7d4bf	 DOUT value is=dff7d4bf	 of RADDR = 12	 time is                 1894
Correct reading!	 TBArray value is=48ebe191	 DOUT value is=48ebe191	 of RADDR =  3	 time is                 1904
Correct reading!	 TBArray value is=c63b3a8c	 DOUT value is=c63b3a8c	 of RADDR = 15	 time is                 1914
Correct reading!	 TBArray value is=c63b3a8c	 DOUT value is=c63b3a8c	 of RADDR = 15	 time is                 1924
Correct reading!	 TBArray value is=48ebe191	 DOUT value is=48ebe191	 of RADDR =  3	 time is                 1934
Correct reading!	 TBArray value is=99e11433	 DOUT value is=99e11433	 of RADDR = 11	 time is                 1944
Correct reading!	 TBArray value is=34097b68	 DOUT value is=34097b68	 of RADDR = 10	 time is                 1954
Correct reading!	 TBArray value is=84daf809	 DOUT value is=84daf809	 of RADDR =  7	 time is                 1964
Correct reading!	 TBArray value is=7b3e37f6	 DOUT value is=7b3e37f6	 of RADDR =  0	 time is                 1974
Correct reading!	 TBArray value is=46ff1d8d	 DOUT value is=46ff1d8d	 of RADDR = 14	 time is                 1984
Correct reading!	 TBArray value is=46ff1d8d	 DOUT value is=46ff1d8d	 of RADDR = 14	 time is                 1994
Correct reading!	 TBArray value is=c3cb3487	 DOUT value is=c3cb3487	 of RADDR =  4	 time is                 2004
Correct reading!	 TBArray value is=a89aaa51	 DOUT value is=a89aaa51	 of RADDR =  8	 time is                 2014
Correct reading!	 TBArray value is=9b1bfa36	 DOUT value is=9b1bfa36	 of RADDR =  9	 time is                 2024
Correct reading!	 TBArray value is=46ff1d8d	 DOUT value is=46ff1d8d	 of RADDR = 14	 time is                 2034
Correct reading!	 TBArray value is=99e11433	 DOUT value is=99e11433	 of RADDR = 11	 time is                 2044
Correct reading!	 TBArray value is=48ebe191	 DOUT value is=48ebe191	 of RADDR =  3	 time is                 2054
Correct reading!	 TBArray value is=34097b68	 DOUT value is=34097b68	 of RADDR = 10	 time is                 2064
Correct reading!	 TBArray value is=99e11433	 DOUT value is=99e11433	 of RADDR = 11	 time is                 2074
Correct reading!	 TBArray value is=257cd14a	 DOUT value is=257cd14a	 of RADDR =  2	 time is                 2084
